AccountL2Id,Service Management Automation,Process Automation,Operations Bridge and Analytics,Network Operations Management,ITOM Platform,ITOM Other,Hybrid Cloud Management,Data Center Automation,Configuration Management System
,9256.54185,0,11372.20946,1401.889357,0,0,0,0,0
AE534424494,47592.35769,0,0,0,0,0,0,0,0
AE552642993,282870.17,0,493295.72,89023.25,0,0,0,0,372839.27
AE552667859,88,0,33980.28,22790.82,0,0,0,0,3393.34
AE561399957,0,0,26442.36,0,0,0,0,0,0
AE561413295,318036.3758,32043.45245,532006.0626,310722.8095,0,0,29636.83292,78822.56699,181216.3072
AE631418449,0,0,0,0,0,0,0,0,0
AE643361207,0,0,24238.59,0,0,0,0,0,0
AE643840291,26314.2,0,147159.9294,6940.28,0,0,0,0,3156.7
AE649543451,10688.42,0,1062.6,763.68,0,0,0,0,0
AE851006895,23682.35606,0,7135.97,4297.32,0,0,0,0,5402.5
AE851217519,0,0,0,0,0,0,0,0,0
AE864314781,21122.4,0,0,2241.7,0,0,0,0,0
AE864358051,0,0,149153.13,22907,0,0,0,0,1117.31
AE999998901,0,0,0,0,0,0,7421.800073,0,0
AE999998958,6850.24,0,85292.98971,69717.56374,0,0,0,0,26784.24074
AE999998966,54302.56,0,384099.48,64773.48,0,0,2416.39,0,19982.87
AE999998968,49746.23,0,0,0,0,0,0,0,67084.2
AE999998978,63904.55716,0,117379.8064,25816.43921,0,0,0,0,31410.90114
AE999998984,0,0,0,0,0,0,0,4440,0
AE999998998,28179.57,7070.11,215275.77,18181.51,0,0,99277.57,3409.2,15428.72
AE999998999,0,744.3548611,236761.4691,20334.5993,0,0,0,0,2016.16
AEEU9999759,0,305.26,124439.31,0,0,0,112577.97,157742.44,24932.28
AEEU9999842,81247.87,0,42271.41,11822.16,0,0,0,0,0
AEEU9999846,48692.76434,0,136129.3524,14336.18669,0,0,0,0,15676.17792
AEEU9999859,6055.44,0,0,0,0,0,0,0,0
AEEU9999902,0,4742.104816,47881.13515,28284.83427,0,0,4051.653792,13729.53652,8533.819837
AEEU9999936,19847.264,5651.9,144706.3815,2052,0,0,7068.99,56741.145,12948.336
AEEU9999939,19488.28667,8459.413333,101350.3003,23353.91667,0,0,418.54,0,12968.68667
AEEU9999958,10832.76843,0,58576.0356,6252.326038,0,0,0,0,0
AEEU9999986,67224.14,0,242111.56,25276.22,0,0,0,0,18972.42974
AEL00005824,0,0,0,0,0,0,0,0,0
AL645794348,0,0,7694.797089,356.1271504,0,0,0,0,0
AMSW0000001,0,261.5,5113.64,2139.78,0,0,0,0,0
AR970005641,0,0,23800.77,0,0,0,0,0,0
AR970005708,7587.224865,0,6354.82,4928.81,0,0,0,0,0
AR970342473,0,15541.5,2762.28,0,0,0,0,0,0
AR970508453,0,0,4907.743144,0,0,0,3386.766271,0,0
AR970653010,0,0,5304.43,1293.06,0,0,0,0,0
AR971016415,0,2713,0,0,0,0,0,0,0
AR971344353,5488.4,0,0,0,0,0,0,0,0
AR971675012,22776.4,0,0,0,0,0,0,0,0
AR971847439,0,0,0,0,0,0,0,0,78480
AR972498240,0,0,0,13626,0,0,0,0,0
AR973812670,0,0,78354.35333,23426.66667,0,0,0,0,0
AR974810561,2220.8,0,0,0,0,0,0,0,0
AR975004268,0,20174.56,0,0,0,0,0,0,0
ARSW0000232,0,0,0,0,0,0,0,0,0
ARSW0000596,0,0,2855.434369,861.4834095,0,0,0,0,1846.186015
ARSW0000618,6533.12,0,73792.41,27466,0,0,0,0,51200
AT300133535,29555.26092,0,31519.02063,0,0,0,0,0,0
AT300183175,0,0,0,13959.14128,0,0,0,0,0
AT300272937,133734.2084,0,103634.5255,0,0,0,0,0,55073.09933
AT300386851,5789.848721,0,0,0,0,0,0,0,290.2868331
AT300436755,0,0,61853.45886,0,0,0,0,0,0
AT300874260,0,59866.88323,0,0,0,0,0,0,0
AT301089330,117119.6703,0,216391.0416,18623.97384,0,0,0,0,50884.3073
AT301459962,0,0,40609.48878,0,0,0,0,0,0
AT301669354,0,0,0,1990.019146,0,0,0,0,0
AT301702155,0,12507.31988,0,0,0,0,0,0,0
AT301750386,0,0,22563.83485,28173.85396,0,0,0,0,0
AT303327886,0,0,0,0,0,0,0,0,0
AT303410609,0,0,174170.915,0,0,0,0,0,0
AT303428593,0,0,0,5453.500835,0,0,0,0,0
AT303484505,2381.208084,0,0,0,0,0,0,0,0
AT999998968,0,0,0,0,0,0,0,0,0
AU740197496,1479.95568,0,0,0,0,0,0,0,0
AU740608844,0,3808.636422,0,0,0,0,0,0,0
AU740768023,0,0,0,0,0,0,0,0,0
AU741324503,0,0,19026.28724,0,0,0,0,0,0
AU743975134,0,0,7774.742151,0,0,0,0,0,0
AU745454962,0,0,0,0,0,0,0,0,0
AU748694676,0,2657.205322,0,0,0,0,0,0,0
AU750018590,0,0,18270.24696,0,0,0,0,0,0
AU750019671,0,0,2542.119967,0,0,0,0,0,0
AU750020166,0,0,8539.750294,0,0,0,0,0,0
AU750069838,0,0,10848.75481,0,0,0,0,0,0
AU750076627,0,0,9257.940021,0,0,0,0,0,0
AU750506131,325399.1467,77070.41006,175952.7163,0,0,0,2932.025093,0,64779.62447
AU750901258,393695.0977,6004.298134,73523.88886,7728.429398,0,0,29057.1622,0,8133.599056
AU750905432,0,0,0,0,0,0,83472.98796,0,0
AU750999724,0,0,14694.70616,0,0,0,0,0,0
AU751291618,375779.6876,0,3393.422821,115342.0139,0,0,0,0,17519.02556
AU751876173,0,5405.571214,19629.79543,0,0,0,0,0,0
AU752420518,0,0,18491.88337,1205.871636,0,0,0,0,0
AU752848304,0,0,6253.419053,0,0,0,0,0,0
AU752858126,25821.20726,0,71137.56753,381.3539367,0,0,0,0,7264.627658
AU753170117,0,50651.78433,97612.32778,55179.67386,0,0,0,0,1764.28683
AU753380922,0,0,38336.94238,1335.298973,0,0,0,0,0
AU753642255,0,0,7526.402286,0,0,0,0,24243.25702,0
AU753682830,0,0,561596.7862,0,0,0,0,0,0
AU753741792,0,0,0,0,0,0,0,0,0
AU753805670,277881.0503,10.13556222,546343.824,20480.07449,0,0,0,0,12528.58358
AU753893242,760552.2681,0,121359.7245,0,0,0,56441.11634,0,263505.6627
AU753985621,0,0,7415.69934,0,0,0,0,0,0
AU754042067,0,0,21035.12125,7966.864224,0,0,0,0,0
AU754242691,268.1350715,0,0,0,0,0,0,0,0
AU754849123,88063.78044,0,40641.70826,107687.0915,0,0,0,0,47240.43518
AU755043429,0,24221.57367,0,0,0,0,0,0,0
AU755129988,0,0,4833.540309,0,0,0,0,0,0
AU755247988,7858.088394,0,319005.0046,0,0,0,0,0,95703.32475
AU755454634,83116.55526,0,0,0,0,0,0,0,0
AU755474368,0,0,20260.26756,0,0,0,0,0,0
AU755657210,0,0,54274.73101,3936.271631,0,0,0,0,0
AU756153029,0,0,85232.93204,7656.476574,0,0,0,0,15112.94869
AU756165304,0,0,93123.79814,0,0,0,0,0,0
AU756357229,0,0,57116.33739,27057.60719,0,0,0,0,0
AU756682071,0,0,16733.57526,1116.614737,0,0,0,0,0
AU756932497,0,0,4998.624301,0,0,0,0,0,0
AU757319405,0,2264.476454,150429.1589,0,0,0,4732.035963,0,0
AU757825781,187128.1409,0,0,0,0,0,0,0,0
AU758216410,0,14248.69681,138020.8735,45826.14128,0,0,436.8330645,0,2866.415819
AU758495253,0,0,26190.43406,30827.29389,0,0,0,0,270.2097757
AU758573914,0,0,52015.19894,0,0,0,0,0,0
AU758696660,0,0,67305.18975,0,0,0,0,0,0
AU759085475,0,69351.36121,0,0,0,0,0,0,0
AU759588718,42700.23871,0,0,24436.50588,0,0,0,0,0
AU759730104,4498.166974,0,0,0,0,0,0,0,0
AU889258988,0,0,21371.22334,0,0,0,0,0,0
AU889359027,0,0,0,7397.398813,0,0,0,0,0
AU999998848,0,0,0,0,0,0,0,0,0
AUSW0000018,0,0,0,13064.19685,0,0,0,0,0
AUSW0000062,5135.822484,0,0,0,0,0,0,0,0
AUSW0000093,157780.5052,0,0,0,0,0,0,0,0
AUSW0000414,0,1412.657927,0,0,0,0,0,0,0
AUSW0000553,0,0,3188.470892,0,0,0,0,0,0
AUSW0000845,0,0,15917.11594,5819.285083,0,0,0,0,0
AUSW0000892,0,52687.9987,0,0,0,0,0,0,0
AUSW0000899,1172535.825,4324.501589,22722.6589,0,0,0,0,0,877899.7725
AUSW0000922,0,0,3661.9645,0,0,0,0,0,0
AUSW0001349,0,0,0,24665.48183,0,0,0,0,0
AUSW0002441,0,0,228.8098833,0,0,0,0,0,0
AZ999998969,1680.133333,0,6289.723333,1054.883333,0,0,0,0,2109.666667
BE282744309,0,0,16309.36834,51451.77722,0,0,0,0,386860.3976
BE282988666,0,0,32490.94546,0,0,0,0,0,0
BE283168474,0,0,0,7426.48635,0,0,0,0,0
BE283367746,0,0,196123.3938,152926.072,0,0,0,19344.18333,0
BE283740223,0,0,0,0,0,0,0,0,9271.33813
BE293411237,0,0,5417.5,0,0,0,0,0,0
BE299002816,0,0,0,32520.58165,0,0,0,0,0
BE370006116,0,81698.98316,337695.2833,0,0,0,0,0,69571.67955
BE370217689,12464.63,0,78401.29,0,0,0,0,0,0
BE370515330,70783.53057,0,0,0,0,0,0,0,0
BE370515470,0,0,87698.26645,0,0,0,0,0,0
BE370707742,0,0,112428.2798,11585.9996,0,0,0,0,42114.7828
BE372061044,0,0,396335.6813,0,0,0,0,0,14797.70626
BE372143060,732516.148,0,0,0,0,0,0,0,0
BE372322136,0,0,0,0,0,0,0,0,2087.042991
BE374113629,0,0,28503.93,0,0,0,0,0,0
BE375328226,0,0,0,122864.6293,0,0,0,0.022097738,0
BE375695475,0,0,291803.1755,14593.0591,0,0,0,38890.53886,83484.85754
BE491328985,170177.1244,0,0,0,0,0,0,0,0
BE503012981,0,0,151662.5897,0,0,0,0,0,0
BE505777201,0,0,0,2685.725966,0,0,0,0,0
BE762909955,458.2317301,0,0,0,0,0,0,0,0
BESW0000210,0,2.248656962,0,0,0,0,0,0,0
BG535091615,28228.97085,0,0,0,0,0,0,0,14954.86537
BG628157182,3289.154997,0,23271.15622,1117.731747,0,0,0,0,4553.332998
BG644035024,0,0,34676.94392,0,0,0,0,0,25653.00198
BG644389868,0,0,0,12790.47333,0,0,0,0,0
BG644713612,109433.641,552.5350561,73490.74566,102623.435,0,0,0,17600.3907,2114.564457
BG645024167,0,0,0,0,0,0,0,0,0
BG681512894,2585.435381,0,0,0,0,0,0,0,0
BG999998937,0,0,13539.6269,10614.49954,0,0,0,0,0
BGEU9999960,0,0,13261.10001,28929.1797,0,0,0,0,0
BGEU9999989,0,0,14141.64874,0,0,0,0,0,0
BR679208967,0,0,0,0,0,0,0,0,0
BR897410106,10537.05277,5465.552104,52223.87023,0,0,0,228684.6472,355384.6577,0
BR897410478,263743.2938,0,1521813.966,49059.39412,0,0,0,0,151286.544
BR898196555,0,0,0,0,0,0,0,0,0
BR898197975,0,2706.055413,30866.28985,422.993021,0,0,0,33859.84646,0
BR898341011,648.4138534,2628.895161,21992.53269,0,0,0,10783.72788,9421.39787,11470.6268
BR898423348,0,3127.697318,0,0,0,0,0,0,0
BR898695929,32373.52327,0,0,0,0,0,0,0,65505.30181
BR898699426,61313.41107,0,0,0,0,0,1206.292988,0,2330.715098
BR898984455,0,0,363.2580467,0,0,0,0,0,0
BR899235087,0,0,2720.672034,0,0,0,0,0,0
BR899344030,92697.50249,0,57631.21014,0,0,0,0,0,0.003120495
BR899406581,0,0,0,0,0,0,0,0,0
BR899701411,0,0,999.508572,0,0,0,0,0,0
BR899917173,0,0,0,0,0,0,0,0,0
BR899964886,0,0,34158.95493,0,0,0,0,0,0
BR900137803,605995.7102,87534.44102,0,0,0,0,0,0,0
BR900161380,0,0,0,0,0,0,0,0,0
BR900594839,67845.71971,0,0,0,0,0,0,0,0
BR900844713,0,19580.53376,0,0,0,0,0,0,0
BR900883828,24844.61188,0,0,0,0,0,2441.437678,0,577.1760778
BR901284773,94789.05844,5192.984395,0,0,0,0,54010.51554,36811.50119,145421.5342
BR901310714,37870.03769,221.1900322,0,0,0,0,0,0,45970.81096
BR901326819,0,0,0,0,0,0,44897.30458,0,0
BR906713487,0,0,243742.3161,31218.25369,0,0,0,11457.52072,0
BR907158492,384968.6903,0,0,0,0,0,0,0,0
BR909148913,0,0,0,71138.18781,0,0,0,0,0
BR914701292,44798.52844,0,0,0,0,0,0,0,0
BRSEGULIDER,76507.45627,0,0,0,0,0,0,0,0
BRSW0002491,0,0,3986.291479,0,0,0,0,0,0
BRSW0002493,0,3272.643875,0,0,0,0,0,0,0
BRSW0002735,0,16257.91412,193565.3195,0,0,0,0,0,0
BRSW0171531,0,27007.77319,0,0,0,0,0,0,0
BY366422913,1132.854719,0,4778.438335,3519.988271,0,0,0,0,0
BY644488751,64104.8647,16696.905,6312.688915,0,0,0,0,0,0
BY644606923,34805.84508,0,0,0,0,0,0,0,0
BY999998947,53774.47902,0,0,0,0,0,0,0,1233.8
BY999998960,36575.87,0,0,0,0,0,0,0,11258.46252
BY999998968,0,0,0,45868.64,0,0,0,0,100.1142857
BY999998977,0,0,27300.57075,0,0,0,0,0,0
CA200008290,0,0,0,41207.32902,0,0,0,0,0
CA200198369,40797.43361,0,0,0,0,0,0,0,0
CA200533354,0,0,46492.88916,10477.27038,0,0,0,0,0
CA200678410,0,0,0,0,0,0,0,0,0
CA200856560,0,0,0,0,0,0,0,0,0
CA201089344,0,0,0,0,0,0,0,0,0
CA201649068,0,0,47501.09565,621435.0832,0,0,0,0,0
CA202135729,0,0,449980.1951,190535.9732,0,0,4569.624711,0,0
CA202307443,0,100921.39,0,0,0,0,0,0,0
CA202686119,4834.686372,0,44742.07192,72.68750209,0,0,0,0,0
CA202686150,0,0,0,108802.934,0,0,0,600161.2983,0
CA202691093,0,0,14963.36495,0,0,0,0,0,0
