Configuration Management System,Data Center Automation,Hybrid Cloud Management,ITOM Other,ITOM Platform,Network Operations Management,Operations Bridge and Analytics,Process Automation,Service Management Automation,Grand Total
,,,,,,,,47592.35769,47592.35769
372839.27,,,,,89023.25,493295.72,,282870.17,1238028.41
3393.34,0,,,,22790.82,33980.28,,88,60252.44
,,,,,,26442.36,,,26442.36
181216.3072,78822.56699,29636.83292,,,310722.8095,532006.0626,32043.45245,318036.3758,1482484.407
,,,,,,0,,,0
,,,,,,24238.59,,,24238.59
3156.7,,,,,6940.28,147159.9294,,26314.2,183571.1094
0,,,,,763.68,1062.6,,10688.42,12514.7
5402.5,,,,,4297.32,7135.97,,23682.35606,40518.14606
,,0,,,,,,,0
,,,,,2241.7,,,21122.4,23364.1
1117.31,,,,,22907,149153.13,,,173177.44
,,7421.800073,,,,,,,7421.800073
26784.24074,0,,,,69717.56374,85292.98971,,6850.24,188645.0342
19982.87,,2416.39,,,64773.48,384099.48,,54302.56,525574.78
67084.2,,,,,,,,49746.23,116830.43
31410.90114,,,,,25816.43921,117379.8064,,63904.55716,238511.704
0,4440,0,,,,0,0,,4440
15428.72,3409.2,99277.57,,,18181.51,215275.77,7070.11,28179.57,386822.45
2016.16,,,,,20334.5993,236761.4691,744.3548611,,259856.5833
24932.28,157742.44,112577.97,,,,124439.31,305.26,,419997.26
0,,,,,11822.16,42271.41,,81247.87,135341.44
15676.17792,,,,,14336.18669,136129.3524,,48692.76434,214834.4814
,,,,,,,,6055.44,6055.44
8533.819837,13729.53652,4051.653792,,,28284.83427,47881.13515,4742.104816,,107223.0844
12948.336,56741.145,7068.99,,,2052,144706.3815,5651.9,19847.264,249016.0165
12968.68667,0,418.54,,,23353.91667,101350.3003,8459.413333,19488.28667,166039.1437
,,,,,6252.326038,58576.0356,,10832.76843,75661.13006
18972.42974,,,,,25276.22,242111.56,,67224.14,353584.3497
,,,,,,0,,,0
,,,,,356.1271504,7694.797089,,,8050.924239
,,,,,2139.78,5113.64,261.5,,7514.92
,,,,,,23800.77,,,23800.77
,,,,,4928.81,6354.82,,7587.224865,18870.85487
,,,,,,2762.28,15541.5,,18303.78
,,3386.766271,,,,4907.743144,,,8294.509415
,,,,,1293.06,5304.43,,,6597.49
,,,,,,,2713,,2713
,,,,,,,,5488.4,5488.4
0,,,,,,,,22776.4,22776.4
78480,,,,,,,,,78480
,,,,,13626,0,,,13626
0,,,,,23426.66667,78354.35333,,,101781.02
,,,,,,,,2220.8,2220.8
,,,,,,,20174.56,,20174.56
0,0,,,,,0,,0,0
1846.186015,,,,,861.4834095,2855.434369,,,5563.103793
51200,,,,,27466,73792.41,,6533.12,158991.53
,,,,,,31519.02063,,29555.26092,61074.28156
,,,,,13959.14128,,,,13959.14128
55073.09933,,,,,,103634.5255,,133734.2084,292441.8333
290.2868331,,,,,,,,5789.848721,6080.135554
,,,,,,61853.45886,,,61853.45886
,,,,,,,59866.88323,,59866.88323
50884.3073,,,,,18623.97384,216391.0416,,117119.6703,403018.9931
,,,,,,40609.48878,,,40609.48878
,,,,,1990.019146,,,,1990.019146
,,,,,,,12507.31988,,12507.31988
,,,,,28173.85396,22563.83485,,,50737.68881
,,,,,0,0,,,0
,,,,,,174170.915,,,174170.915
,,,,,5453.500835,,,,5453.500835
,,,,,,,,2381.208084,2381.208084
,,,,,,,,0,0
,,,,,,,,1479.95568,1479.95568
,,,,,,,3808.636422,,3808.636422
,,,,,,,,0,0
,,,,,,19026.28724,,,19026.28724
,,,,,,7774.742151,,,7774.742151
,,0,,,,,,,0
,,,,,,,2657.205322,,2657.205322
,,,,,,18270.24696,,,18270.24696
,,,,,,2542.119967,,,2542.119967
,,,,,,8539.750294,,,8539.750294
,,,,,,10848.75481,,,10848.75481
,,,,,,9257.940021,,,9257.940021
64779.62447,,2932.025093,,,,175952.7163,77070.41006,325399.1467,646133.9226
8133.599056,,29057.1622,,,7728.429398,73523.88886,6004.298134,393695.0977,518142.4754
,,83472.98796,,,,,,,83472.98796
,,,,,,14694.70616,,,14694.70616
17519.02556,,,,,115342.0139,3393.422821,,375779.6876,512034.1499
,,,,,,19629.79543,5405.571214,,25035.36665
,,,,,1205.871636,18491.88337,,,19697.75501
,,,,,,6253.419053,,,6253.419053
7264.627658,,,,,381.3539367,71137.56753,,25821.20726,104604.7564
1764.28683,,,,,55179.67386,97612.32778,50651.78433,,205208.0728
,,,,,1335.298973,38336.94238,,,39672.24136
,24243.25702,,,,,7526.402286,,,31769.6593
,,,,,,561596.7862,,,561596.7862
,,,,,0,0,,,0
12528.58358,,,,,20480.07449,546343.824,10.13556222,277881.0503,857243.668
263505.6627,0,56441.11634,,,,121359.7245,0,760552.2681,1201858.772
,,,,,,7415.69934,,,7415.69934
0,,,,,7966.864224,21035.12125,0,0,29001.98548
,,,,,,,,268.1350715,268.1350715
47240.43518,,,,,107687.0915,40641.70826,,88063.78044,283633.0154
,,,,,,,24221.57367,,24221.57367
,,,,,,4833.540309,,,4833.540309
95703.32475,,,,,,319005.0046,0,7858.088394,422566.4178
,,,,,,,,83116.55526,83116.55526
,,,,,,20260.26756,,,20260.26756
,,,,,3936.271631,54274.73101,,,58211.00264
15112.94869,,,,,7656.476574,85232.93204,,,108002.3573
,,,,,0,93123.79814,,,93123.79814
,,,,,27057.60719,57116.33739,,,84173.94458
,,,,,1116.614737,16733.57526,,,17850.19
,,,,,,4998.624301,,,4998.624301
,,4732.035963,,,,150429.1589,2264.476454,,157425.6713
0,,,,,,,,187128.1409,187128.1409
2866.415819,,436.8330645,,,45826.14128,138020.8735,14248.69681,,201398.9605
270.2097757,,,,,30827.29389,26190.43406,,,57287.93773
,,,,,,52015.19894,,,52015.19894
0,,,,,,67305.18975,,,67305.18975
,,,,,,,69351.36121,,69351.36121
,,,,,24436.50588,,,42700.23871,67136.74459
,,,,,,,,4498.166974,4498.166974
,,,,,,21371.22334,,,21371.22334
,,,,,7397.398813,,,,7397.398813
,,,,,,,,0,0
,,,,,13064.19685,,,,13064.19685
,,,,,,,,5135.822484,5135.822484
,,,,,,,,157780.5052,157780.5052
,,,,,,,1412.657927,,1412.657927
,,,,,,3188.470892,,,3188.470892
,,,,,5819.285083,15917.11594,,,21736.40102
,,,,,,,52687.9987,,52687.9987
877899.7725,,,,,,22722.6589,4324.501589,1172535.825,2077482.758
,,,,,,3661.9645,,,3661.9645
,,,,,24665.48183,0,,,24665.48183
,,,,,,228.8098833,,,228.8098833
2109.666667,,,,,1054.883333,6289.723333,,1680.133333,11134.40667
386860.3976,,,,,51451.77722,16309.36834,,,454621.5432
,,,,,,32490.94546,,,32490.94546
,,,,,7426.48635,,,,7426.48635
,19344.18333,,,,152926.072,196123.3938,,,368393.6492
9271.33813,,,,,,,,,9271.33813
,,,,,,5417.5,,,5417.5
,,,,,32520.58165,,,,32520.58165
69571.67955,,,,,0,337695.2833,81698.98316,,488965.946
,,,,,,78401.29,,12464.63,90865.92
,,,,,,,,70783.53057,70783.53057
,,,,,,87698.26645,,,87698.26645
42114.7828,,,,,11585.9996,112428.2798,,,166129.0622
14797.70626,,,,,,396335.6813,0,,411133.3875
0,,,,,,,,732516.148,732516.148
2087.042991,,,,,,,,,2087.042991
,,,,,,28503.93,,,28503.93
,0.022097738,,,,122864.6293,,,,122864.6514
83484.85754,38890.53886,,,,14593.0591,291803.1755,,,428771.631
0,,,,,,,,170177.1244,170177.1244
,,,,,,151662.5897,,,151662.5897
,,,,,2685.725966,,,,2685.725966
,,,,,,,,458.2317301,458.2317301
,,,,,,,2.248656962,,2.248656962
14954.86537,,,,,,,,28228.97085,43183.83622
4553.332998,,,,,1117.731747,23271.15622,,3289.154997,32231.37596
25653.00198,,,,,,34676.94392,,,60329.9459
,,,,,12790.47333,,,,12790.47333
